Site_Name,Latitude,Longitude,Site_type,Elevation in feet,Prec (chelsa),Temp (chelsa aprile),RecAvgIndex
317,44.76169,-73.06094,still water,750,1197,63,-0.622452934601105
318,42.8396,-73.11061,running water,2138,1368,55,-0.464612133944827
319,44.55638,-72.77568,still water,3008,1392,26,0.519535991032576
320,43.77223,-72.7602,running water,730,794,69,-0.779350416719741
321,43.759,-73.26483,still water,485,1031,75,5.7432357411507
322,43.7703,-73.2607,still water,680,1086,71,0.811371610399489
323,43.72699,-72.30344,still water,739,869,69,0.092605007346731
324,44.16083,-72.11231,still water,1132,843,58,-0.636403438998737
325,43.62943,-73.26878,still water,488,1007,78,-0.586846480674306
326,44.19221,-72.09708,still water,889,863,62,-0.643552555501918
327,44.474,-72.975,still water,693,1208,65,-0.318459275009884
328,43.57397,-73.39901,still water,210,769,85,-0.65871000454364
329,44.85,-71.7274,still water,1253,887,50,-0.263597243927826
330,43.4045,-73.0445,still water,1125,828,67,4.0309253386386
331,43.83149,-72.36975,still water,1025,811,62,-0.455929490987332
332,43.04833,-72.70516,still water,494,974,78,-0.287546298386626
333,44.73611,-73.31944,still water,100,909,74,2.27980423597871
334,44.89075,-72.82111,running water,366,975,67,-0.3950954541668
335,43.6435,-72.37358,still water,1088,1170,65,2.85531217270649
336,43.20806,-72.44425,running water,328,818,83,-0.648626173879397
337,43.82138,-73.21947,still water,393,890,78,-0.378082131789467
338,44.8386,-71.69781,still water,1250,1158,48,-0.573640475431988
339,44.8881,-71.69581,running water,1600,906,43,1.21610479909539
340,42.77,-72.526,still water,210,940,86,-0.530504484955623
341,44.5272,-71.81661,running water,1130,755,55,2.81526881363333
342,44.5565,-71.78911,still water,1200,787,54,2.81032463312162
343,44.53443,-71.81739,still water,1183,775,53,-0.038560639084181
344,44.53069,-71.79914,still water,1144,791,55,0.199808454194391
345,43.64285,-72.41131,running water,595,816,74,1.08106073034541
346,43.98769,-72.13878,running water,517,752,71,-0.489942969570867
347,43.41287,-72.91443,still water,2350,1325,50,6.37916700729917
348,43.41763,-72.92447,still water,2128,1288,51,-0.409298240876691
349,44.42988,-72.74284,still water,774,872,66,-0.757733684048101
350,44.75358,-72.77905,still water,1214,1451,54,-0.542853120703322
351,44.7722,-71.7369,still water,1154,855,52,-0.757603665779688
352,44.68583,-71.65917,still water,1245,792,51,0.256523124509895
353,42.91389,-72.6087,running water,299,949,84,-0.744308279390658
354,44.71129,-71.64271,still water,1044,774,54,2.46308671356593
355,44.714889,-72.10006,still water,1461,1178,47,-0.124558142005
356,44.71451,-71.63897,running water,1027,783,54,-0.80860082971129
